"h","fmethod","sampleSize","mseBase","mseMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,"ets",100,9.0944702680426,NA,6.74563359526617,9.28690237806806,8.5517011488775,6.48398823786806,8.81965689687294
1,"ets",100,19.6749146343804,NA,13.0877531607667,15.5802648035411,15.0662067276413,20.332648731858,14.916299053174
1,"ets",100,2.37791207830138,NA,4.93808719418602,3.57956700813245,3.69404924318832,1.40018326323435,3.83663139768212
1,"ets",100,4.36548366242487,NA,8.8297573181801,6.45295778500145,6.62359597038113,3.43641358830179,6.76077774612923
1,"ets",100,1.24067999009613,NA,0.934978345874905,1.29768295251676,1.00770356793098,0.814522926188634,1.15756968661453
1,"ets",100,22.4266666653482,NA,21.3877867021207,21.0573874873745,21.2841078213003,23.6146504829095,21.1117294477832
1,"ets",100,2.156074871334,NA,1.68318544543376,1.62119801059157,1.73908599246737,2.52214408140912,1.67686464019086
1,"ets",100,1.32630440386173,NA,1.07682629590598,1.42056106661353,1.25699150137628,1.00158799959784,1.32384163151373
1,"ets",100,7.19103951624885,NA,3.7786133273371,3.95213118933878,4.18832516772206,9.08853845199455,3.89891813308731
1,"ets",100,9.37012767397024,NA,9.63832046299776,10.6276600433335,10.2256271559078,7.58735573946312,10.4973054984666
1,"ets",100,12.2199598436592,NA,11.8616852579492,12.0293042783445,11.8125159763571,11.691998545449,12.0980558948001
1,"ets",100,29.1204153532542,NA,14.4212695981541,17.9600839767351,17.422686583433,32.3573061410352,16.9878859172909
1,"ets",100,11.5617418383187,NA,18.8259438253948,15.7716180402376,15.9363628366969,9.64006452844101,16.2345471651118
1,"ets",100,2.65178815191638,NA,4.43217605970483,4.03339361131806,3.98373471727217,1.44304163188172,4.17459238478836
1,"ets",100,12.5934409093806,NA,20.755406198265,14.3570430116777,15.2765667235232,14.0284120558378,15.064552831868
1,"ets",100,10.9373659921273,NA,7.96998204740504,8.60855077858916,8.72460003237902,12.1842736271375,8.50027874265454
