"cases","h","fmethod","medianBaseBayesShr","medianMintBayesShr","medianBaseMint"
"190",1,"ets",1.05654320614124,0.986148422580008,1.06848101086196
"190",1,"arima",1.0434392225408,0.998062962510024,1.05326772219581
