"h","iTest","fmethod","sampleSize","mseBase","mseMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,1,"ets",100,9.0944702680426,NA,6.74563359526617,9.17758177173357,11.6649527006124,8.95738274358863,10.086548451503
1,2,"ets",100,19.6749146343804,NA,13.0877531607667,17.5396082513429,14.0231608206923,17.4412465743628,14.6535725486081
1,3,"ets",100,2.37791207830138,NA,4.93808719418602,2.46874435371069,5.11576675504746,2.49087280218447,4.29678228604149
1,4,"ets",100,4.36548366242487,NA,8.8297573181801,5.00122965060427,7.67183415619092,4.93697217633782,7.06331472537664
1,5,"ets",100,1.24067999009613,NA,0.934978345874905,0.825627600095566,3.37463918898913,0.72856150660704,2.00294607607689
1,6,"ets",100,22.4266666653482,NA,21.3877867021207,21.7517309410586,19.717627156186,21.8676848627528,20.4890191257297
1,7,"ets",100,2.156074871334,NA,1.68318544543376,1.86576910388857,1.29344671554029,1.93933137210061,1.49684294496852
1,8,"ets",100,1.32630440386173,NA,1.07682629590598,1.3608680884151,1.98035282202148,1.31684831883683,1.59474986276838
1,9,"ets",100,7.19103951624885,NA,3.7786133273371,5.35101950689573,2.24667074296181,5.54933789155696,3.16573323854006
1,10,"ets",100,9.37012767397024,NA,9.63832046299776,9.9329963475117,13.0180196841495,9.82991311957901,11.6193072596357
1,11,"ets",100,12.2199598436592,NA,11.8616852579492,11.8874452396563,13.7560500681082,12.2977028836445,12.8348228163228
1,12,"ets",100,29.1204153532542,NA,14.4212695981541,22.9024728958547,14.1179377694126,23.2418291112542,15.95587541206
1,13,"ets",100,11.5617418383187,NA,18.8259438253948,13.0602379665954,18.3375949071059,12.8093286943395,16.9204240167771
1,14,"ets",100,2.65178815191638,NA,4.43217605970483,2.99476702717992,6.25913462965315,2.87734810344111,4.92179754747915
1,15,"ets",100,12.5934409093806,NA,20.755406198265,13.0359926920717,12.4803179458792,13.0672739961429,13.7743506525393
1,16,"ets",100,10.9373659921273,NA,7.96998204740504,9.57221974900851,7.75848495135358,9.56199157699916,8.14701655381347
1,17,"ets",100,12.581693410703,NA,13.0685782414793,12.3368052042468,11.2015340037171,12.4923080764506,11.8949383622619
1,18,"ets",100,7.36127214496489,NA,6.14413216671865,7.22760914549372,7.86932777654518,7.31196839668442,7.39535535673115
1,19,"ets",100,3.55385030738289,NA,3.05074580310058,3.53844479279847,3.77690028222533,3.52773058582991,3.57825448540415
1,20,"ets",100,3.81111039292922,NA,1.0281342738194,2.10080964413814,0.799476339410876,2.39697144525253,0.92672187378803
1,21,"ets",100,12.653998655639,NA,9.72186683665911,13.3250828822423,21.9771274810135,12.8317504908377,16.6242291181794
1,22,"ets",100,45.5022197153386,NA,20.3155392300354,37.3570729570327,26.9899075272515,37.8873608095921,28.0692452725809
1,23,"ets",100,6.81814951031928,NA,8.54003488628994,5.7103825414031,13.2997833113025,5.65346070411146,9.1589144850148
1,24,"ets",100,26.2310770362152,NA,29.1514847775011,27.689927319399,37.1191611111161,27.4995946424576,32.3394926397305
1,25,"ets",100,15.0087777833953,NA,9.79735306299338,13.7733243985689,12.4632044476347,13.8485440211701,12.2415777577361
1,26,"ets",100,4.1882464597024,NA,2.84778034445214,3.77598941326065,3.38297973560562,3.81483611484368,3.40989013869894
1,27,"ets",100,1.43249851642942,NA,0.925354990977395,0.128417515914406,1.26794076599457,0.196254741805456,0.470400752411761
1,28,"ets",100,12.9839872428275,NA,15.2577494701661,13.4569086508153,17.4719711928307,13.5017503406266,15.5815743159255
1,29,"ets",100,8.51351354025935,NA,10.4278338901042,8.38583188042035,7.52303785022272,8.31299600994487,8.08659274288327
1,30,"ets",100,4.22851718133907,NA,4.8500016342644,4.37222645106457,4.88643884852559,4.18714463775548,4.57042155804342
1,31,"ets",100,6.96409465136365,NA,4.09383101096933,5.97556560334448,3.90043298184815,5.99389809315372,4.70912830672405
1,32,"ets",100,10.0426728063401,NA,10.2650487556863,10.1716144739231,10.991539476622,10.208940212084,10.551081160778
1,33,"ets",100,1.96201972819161,NA,2.57572483636924,2.07733537362948,2.52008911001821,2.09563416617955,2.37646122559118
1,34,"ets",100,0.878445033785834,NA,2.44970135963258,0.987162336399251,1.62506143637522,0.933045184518073,1.42211205539285
1,35,"ets",100,9.60394627306627,NA,8.98244756073528,9.56085427018697,9.90211795630133,9.61858188668288,9.65408866498911
1,36,"ets",100,8.50139793702933,NA,5.47872400650237,6.71731152716918,4.00110091233282,6.97740874774011,4.94494494347191
1,37,"ets",100,36.080219190693,NA,43.6957518179235,35.4148306229428,34.8808288598785,36.126001082207,35.6623680201953
1,38,"ets",100,16.2102684431294,NA,14.4203201975975,15.808710321326,14.7479573644543,15.6486441464905,15.1537380305995
