"cases","h","fmethod","medianBaseBayesShr","medianMintBayesShr","medianBaseMint"
"190",1,"ets",0.98441882172494,0.987016079582886,0.997346586280225
"190",1,"arima",1.07952636606608,1.02277779307511,1.01552774681358
