;;;;;;;;;;;;;;;;;;;;;;Ratios mse/base;;;;;;;;;;;;;;;
dset;h;iTest;fmethod;mseBase;mseBottomUp;mseMinT;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;esBayesFull;esBayesFullPos;esBayes;esBayesPos;;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;;;;;Mean ES;Median ES
infantgts;1;10;ets;653.6987867;1497.811153;NA;801.5680925;802.2456953;799.3387346;919.7782673;898.3540448;1063.298748;1065.552659;1063.495734;1089.980874;1086.016458;115.6991262;118.5166462;113.0867852;113.8392573;;1.226204039;1.227240606;1.222793664;1.407036828;1.374262983;1.626588223;1.630036159;1.626889563;1.66740538;1.661340789;;;;mseBayesFullPosMeanS;1.042;1.019
infantgts;1;11;ets;4717.202457;5288.774561;NA;4805.162099;4817.330825;4811.351091;4989.636234;4958.588275;4983.877608;5002.335603;5002.486265;5023.573438;5022.226821;227.2624495;231.747308;246.2573596;246.9450616;;1.018646569;1.021226218;1.019958574;1.057753251;1.051171392;1.056532479;1.060445391;1.06047733;1.0649476;1.064662131;;;;mseBayesFullPosMedianS;1.035;1.018
infantgts;1;12;ets;596.0856562;829.2554765;NA;614.7174395;613.7309942;613.132497;634.0721251;629.8153941;669.5681414;672.5516111;674.2699041;673.9621083;672.8341603;116.8648957;116.6730614;104.527415;104.309806;;1.031256889;1.029602018;1.028597972;1.063726527;1.056585388;1.123275044;1.128280146;1.131162774;1.130646412;1.128754154;;;;mseBayes;1.043;1.013
infantgts;1;13;ets;6143.273443;5034.666043;NA;5946.425695;5970.752931;5973.222547;6092.545599;6079.463236;5529.450248;5533.375467;5530.313567;5564.454221;5564.074605;255.8932252;259.4097025;261.937593;262.7665274;;0.967957189;0.971917169;0.972319172;0.991742538;0.989612996;0.900082065;0.900721011;0.900222596;0.90578;0.905718207;;;;mseBayesMeanS;1.044;1.015
infantgts;1;14;ets;1579.86962;1488.842873;NA;1600.295165;1593.464705;1592.346576;1522.132094;1530.977861;1548.748163;1540.468976;1540.703204;1532.857027;1534.570962;142.8814851;140.7856904;134.4229444;134.3534247;;1.012928627;1.008605194;1.00789746;0.963454246;0.969053295;0.98030125;0.975060826;0.975209084;0.970242739;0.971327598;;;;mseBayesMedianS;1.044;1.015
infantgts;1;15;ets;1407.461636;1263.83381;NA;1348.082806;1354.737795;1352.935516;1376.896188;1374.915553;1319.090556;1317.051813;1316.162448;1327.604529;1327.661023;134.3544929;135.056498;124.45919;124.6227176;;0.957811405;0.962539767;0.96125925;0.978283282;0.976876043;0.937212441;0.935763917;0.935132024;0.94326161;0.943301749;;;;mseBayesPosMeanS;1.056;1.030
infantgts;1;16;ets;213.6324103;199.3224566;NA;212.7031288;211.5564306;212.6074626;207.0885464;207.6155702;206.3843981;206.9109266;207.7587978;205.3684508;204.6029829;99.94974398;99.22078788;80.35118559;80.32684532;;0.995650091;0.990282469;0.995202284;0.969368581;0.971835547;0.966072506;0.968537154;0.972505986;0.961316921;0.957733813;;;;mseBayesPosMedianS;1.055;1.026
infantgts;1;17;ets;352.6952589;716.0700731;NA;440.6991645;444.7788102;441.5503378;473.8924159;471.0395106;500.0919864;502.6126329;500.1493574;509.5049108;510.344477;107.0816528;107.8752194;91.23222363;91.4169463;;1.249518255;1.261085311;1.251931594;1.343631376;1.335542508;1.417915251;1.425062062;1.418077915;1.444603799;1.446984228;;;;;;
infantgts;1;18;ets;6157.440466;3865.603504;NA;5560.742679;5574.200201;5571.109706;5710.227683;5696.590947;4736.1462;4743.999217;4735.897422;4772.408778;4773.086938;245.6714495;249.2786229;236.9613327;237.619842;;0.90309321;0.905278781;0.904776869;0.927370344;0.925155668;0.769174501;0.770449872;0.769134099;0.775063731;0.775173867;;;;;;
infantgts;1;19;ets;5947.245577;4957.851462;NA;5473.202018;5457.664067;5462.184767;5302.066832;5317.455193;5393.206659;5380.500505;5381.756105;5345.131386;5343.00557;242.452702;238.9346981;255.5048151;254.7774954;;0.920291914;0.917679285;0.918439418;0.891516377;0.894103854;0.90684109;0.904704612;0.904915735;0.89875747;0.898400024;;;;;;
